Common_name,Hectad,Time_period,Exclude
Red Sword-grass,ND25,2012-2016,0
Gold Spangle,ND26,1975-1991,0
Gold Spangle,ND26,2012-2016,0
Red Sword-grass,ND26,2012-2016,0
Gold Spangle,ND27,2012-2016,0
Sword-grass,ND27,2012-2016,0
Red Sword-grass,ND27,2012-2016,0
Great Brocade,ND27,2012-2016,1
Red Sword-grass,ND34,2012-2016,0
Gold Spangle,ND35,2012-2016,0
Red Sword-grass,ND35,2012-2016,0
Gold Spangle,ND37,2012-2016,0
Red Sword-grass,ND37,2012-2016,0
Gold Spangle,ND39,2012-2016,0
Great Brocade,ND39,2012-2016,1
Sword-grass,ND49,2012-2016,0
Red Sword-grass,ND49,2012-2016,0
Great Brocade,ND49,1975-1991,1
Scarce Silver Y,NF70,2012-2016,0
Red Sword-grass,NF70,2012-2016,0
Gold Spangle,NF71,2012-2016,0
Scarce Silver Y,NF71,2012-2016,0
Red Sword-grass,NF71,2012-2016,0
Great Brocade,NF71,2012-2016,1
Gold Spangle,NF72,2012-2016,0
Scarce Silver Y,NF72,2012-2016,0
Red Sword-grass,NF72,2012-2016,0
Great Brocade,NF72,2012-2016,1
Scarce Silver Y,NF73,2012-2016,0
Scarce Silver Y,NF81,2012-2016,0
Scarce Silver Y,NF83,2012-2016,0
Gold Spangle,NF84,2012-2016,0
Gold Spangle,NF85,2012-2016,0
Red Sword-grass,NF85,2012-2016,0
Scarce Silver Y,NF86,2012-2016,0
Red Sword-grass,NF86,2012-2016,0
Scarce Silver Y,NG08,1975-1991,0
Gold Spangle,NG14,2012-2016,0
Scarce Silver Y,NG14,2012-2016,0
Gold Spangle,NG15,2012-2016,0
Red Sword-grass,NG15,2012-2016,0
Red Sword-grass,NG30,1975-1991,0
Gold Spangle,NG32,1975-1991,0
Red Sword-grass,NG32,1975-1991,0
Gold Spangle,NG33,2012-2016,0
Scarce Silver Y,NG33,2012-2016,0
Red Sword-grass,NG33,2012-2016,0
Gold Spangle,NG43,2012-2016,0
Gold Spangle,NG52,2012-2016,0
Golden-rod Brindle,NG52,2012-2016,0
Red Sword-grass,NG52,2012-2016,0
Gold Spangle,NG53,2012-2016,0
Golden-rod Brindle,NG53,2012-2016,0
Red Sword-grass,NG53,2012-2016,0
Gold Spangle,NG61,2012-2016,0
Red Sword-grass,NG61,2012-2016,0
Red Sword-grass,NG62,2012-2016,0
Red Sword-grass,NG72,2012-2016,0
Gold Spangle,NG73,2012-2016,0
Scarce Silver Y,NG73,2012-2016,0
Golden-rod Brindle,NG73,2012-2016,0
Red Sword-grass,NG73,2012-2016,0
Great Brocade,NG73,2012-2016,0
Gold Spangle,NG77,2012-2016,0
Golden-rod Brindle,NG77,2012-2016,0
Red Sword-grass,NG77,2012-2016,0
Gold Spangle,NG82,2012-2016,0
Red Sword-grass,NG82,2012-2016,0
Great Brocade,NG82,2012-2016,0
Gold Spangle,NG83,2012-2016,0
Scarce Silver Y,NG84,1975-1991,0
Red Sword-grass,NG84,1975-1991,0
Great Brocade,NG84,1975-1991,0
Gold Spangle,NG87,2012-2016,0
Red Sword-grass,NG87,2012-2016,0
Great Brocade,NG87,2012-2016,0
Gold Spangle,NG88,2012-2016,0
Scarce Silver Y,NG88,2012-2016,0
Red Sword-grass,NG88,2012-2016,0
Great Brocade,NG88,2012-2016,0
Gold Spangle,NG89,2012-2016,0
Golden-rod Brindle,NG89,2012-2016,0
Red Sword-grass,NG89,2012-2016,0
Gold Spangle,NG90,1975-1991,0
Scarce Silver Y,NG96,2012-2016,0
Great Brocade,NG96,2012-2016,0
Red Sword-grass,NG97,2012-2016,0
Great Brocade,NG97,2012-2016,0
Red Sword-grass,NG98,2012-2016,0
Gold Spangle,NG99,2012-2016,0
Gold Spangle,NH06,1975-1991,0
Scarce Silver Y,NH06,1975-1991,0
Golden-rod Brindle,NH06,1975-1991,0
Red Sword-grass,NH06,1975-1991,0
Great Brocade,NH06,1975-1991,0
Red Sword-grass,NH08,2012-2016,0
Gold Spangle,NH10,1975-1991,0
Scarce Silver Y,NH10,1975-1991,0
Golden-rod Brindle,NH10,1975-1991,0
Sword-grass,NH10,1975-1991,0
Red Sword-grass,NH10,1975-1991,0
Red Sword-grass,NH10,2012-2016,0
Angle-striped Sallow,NH10,1975-1991,0
Great Brocade,NH10,1975-1991,0
Great Brocade,NH11,2012-2016,0
Golden-rod Brindle,NH12,2012-2016,0
