"Hectad","n_recs"
"SN02",390
"SN03",14707
"SN04",274
"SN10",936
"SN11",185
"SN12",1256
"SN13",6889
"SN14",6527
"SN15",113
"SN20",242
"SN21",6466
"SN22",330
"SN23",23
"SN24",1535
"SN25",13394
"SN30",2058
"SN31",3705
"SN32",232
"SN33",4254
"SN34",955
"SN35",366
"SN36",190
"SN40",14068
"SN41",367
"SN42",120
"SN43",7092
"SN44",933
"SN45",6482
"SN46",159
"SN50",2165
"SN51",5149
"SN52",4812
"SN53",4467
"SN54",77
"SN55",92
"SN56",1735
"SN57",558
"SN58",8591
"SN59",46
"SN60",234
"SN61",1359
"SN62",1547
"SN63",200
"SN64",103
"SN65",307
"SN66",81539
"SN67",472
"SN68",36214
"SN69",13258
"SN70",14
"SN71",285
"SN72",3267
"SN73",77
"SN74",43767
"SN75",122
"SN76",6654
"SN77",5242
