"HECTAD","TIME.PERIOD","EASTING","NORTHING","HECTAD.SR","REGION.SR","PERCENT.RECORDED","RECORDING.LEVEL","lon","lat"
"SO13","2012-2016",310000,230000,311,572,54.3706293706294,"Heavily recorded",-3.31125230066204,51.9611705144841
"SO13","1975-1991",310000,230000,12,579,2.07253886010363,"Recorded",-3.31125230066204,51.9611705144841
"SO14","2012-2016",310000,240000,338,562,60.1423487544484,"Heavily recorded",-3.31388266875499,52.0510537355071
"SO14","1975-1991",310000,240000,92,564,16.3120567375887,"Well recorded",-3.31388266875499,52.0510537355071
"SO15","2012-2016",310000,250000,85,561,15.1515151515152,"Well recorded",-3.31652684668772,52.1409354815635
"SO15","1975-1991",310000,250000,196,558,35.1254480286738,"Heavily recorded",-3.31652684668772,52.1409354815635
"SO16","2012-2016",310000,260000,280,564,49.645390070922,"Heavily recorded",-3.31918493091412,52.2308157531147
"SO16","1975-1991",310000,260000,17,563,3.01953818827709,"Recorded",-3.31918493091412,52.2308157531147
"SO17","2012-2016",310000,270000,202,564,35.8156028368794,"Heavily recorded",-3.32185701881244,52.3206945506291
"SO17","1975-1991",310000,270000,3,560,0.535714285714286,"Recorded",-3.32185701881244,52.3206945506291
"SO19","2012-2016",310000,290000,339,549,61.7486338797814,"Heavily recorded",-3.32724359982554,52.5004477254553
"SO19","1975-1991",310000,290000,103,560,18.3928571428571,"Well recorded",-3.32724359982554,52.5004477254553
"SO20","2012-2016",320000,200000,228,599,38.0634390651085,"Heavily recorded",-3.1588054371266,51.6930281819958
"SO20","1975-1991",320000,200000,178,605,29.4214876033058,"Heavily recorded",-3.1588054371266,51.6930281819958
"SO21","2012-2016",320000,210000,326,594,54.8821548821549,"Heavily recorded",-3.16110782380747,51.7829206994832
"SO21","1975-1991",320000,210000,203,592,34.2905405405405,"Heavily recorded",-3.16110782380747,51.7829206994832
"SO22","2012-2016",320000,220000,101,586,17.2354948805461,"Well recorded",-3.16342223764772,51.8728117599704
"SO22","1975-1991",320000,220000,76,583,13.0360205831904,"Well recorded",-3.16342223764772,51.8728117599704
"SO23","2012-2016",320000,230000,63,578,10.8996539792388,"Well recorded",-3.165748762016,51.9627013640371
"SO23","1975-1991",320000,230000,143,576,24.8263888888889,"Well recorded",-3.165748762016,51.9627013640371
"SO24","2012-2016",320000,240000,42,570,7.36842105263158,"Recorded",-3.16808748107454,52.0525895122721
"SO24","1975-1991",320000,240000,70,569,12.3022847100176,"Well recorded",-3.16808748107454,52.0525895122721
"SO25","2012-2016",320000,250000,218,566,38.5159010600707,"Heavily recorded",-3.17043847978856,52.1424762052724
"SO25","1975-1991",320000,250000,80,569,14.0597539543058,"Well recorded",-3.17043847978856,52.1424762052724
"SO26","2012-2016",320000,260000,218,567,38.4479717813051,"Heavily recorded",-3.17280184393581,52.2323614436436
"SO26","1975-1991",320000,260000,4,561,0.71301247771836,"Recorded",-3.17280184393581,52.2323614436436
"SO29","2012-2016",320000,290000,259,556,46.5827338129496,"Heavily recorded",-3.17996699914536,52.5020084371628
"SO29","1975-1991",320000,290000,40,551,7.25952813067151,"Recorded",-3.17996699914536,52.5020084371628
"SO30","2012-2016",330000,200000,102,598,17.056856187291,"Well recorded",-3.01415582529598,51.6943663187744
"SO30","1975-1991",330000,200000,321,605,53.0578512396694,"Heavily recorded",-3.01415582529598,51.6943663187744
"SO31","2012-2016",330000,210000,182,595,30.5882352941176,"Heavily recorded",-3.01617100785956,51.7842631336275
"SO31","1975-1991",330000,210000,35,597,5.86264656616415,"Recorded",-3.01617100785956,51.7842631336275
"SO32","2012-2016",330000,220000,317,590,53.728813559322,"Heavily recorded",-3.01819671804118,51.8741585085241
"SO32","1975-1991",330000,220000,66,584,11.3013698630137,"Well recorded",-3.01819671804118,51.8741585085241
"SO33","2012-2016",330000,230000,211,592,35.6418918918919,"Heavily recorded",-3.02023302882347,51.9640524441679
"SO33","1975-1991",330000,230000,29,586,4.94880546075085,"Recorded",-3.02023302882347,51.9640524441679
"SO34","2012-2016",330000,240000,351,584,60.1027397260274,"Heavily recorded",-3.02228001388394,52.0539449412724
"SO34","1975-1991",330000,240000,346,578,59.8615916955017,"Heavily recorded",-3.02228001388394,52.0539449412724
"SO35","2012-2016",330000,250000,5,573,0.87260034904014,"Recorded",-3.02433774760311,52.1438360005609
"SO35","1975-1991",330000,250000,40,563,7.10479573712256,"Recorded",-3.02433774760311,52.1438360005609
"SO36","2012-2016",330000,260000,87,571,15.2364273204904,"Well recorded",-3.02640630507292,52.2337256227662
"SO36","1975-1991",330000,260000,75,556,13.4892086330935,"Well recorded",-3.02640630507292,52.2337256227662
"SO37","2012-2016",330000,270000,21,572,3.67132867132867,"Recorded",-3.02848576210512,52.3236138086306
"SO37","1975-1991",330000,270000,175,559,31.3059033989267,"Heavily recorded",-3.02848576210512,52.3236138086306
"SO38","2012-2016",330000,280000,62,572,10.8391608391608,"Well recorded",-3.03057619523987,52.4135005589061
"SO38","1975-1991",330000,280000,1,553,0.180831826401447,"Recorded",-3.03057619523987,52.4135005589061
"SO39","2012-2016",330000,290000,286,562,50.8896797153025,"Heavily recorded",-3.03267768175444,52.5033858743539
